"Дата";"Время";"Необходимо";"Фактически";
"08.02.2018";"04:15";"0,39";"0,31";
"08.02.2018";"04:30";"0,38";"0,23";
"08.02.2018";"04:45";"0,33";"0,14";
"08.02.2018";"05:00";"0,74";"0,75";
"08.02.2018";"05:15";"0,74";"0,66";
"08.02.2018";"05:30";"1,08";"0,95";
"08.02.2018";"05:45";"1,41";"1,16";
"08.02.2018";"06:00";"1,83";"3,15";
"08.02.2018";"06:15";"2,16";"3,4";
"08.02.2018";"06:30";"2,57";"2,51";
"08.02.2018";"06:45";"2,82";"2,93";
"08.02.2018";"07:00";"2,95";"3,87";
"08.02.2018";"07:15";"3,18";"3,55";
"08.02.2018";"07:30";"4";"4,53";
"08.02.2018";"07:45";"4,53";"4,6";
"08.02.2018";"08:00";"5,52";"6,62";
"08.02.2018";"08:15";"6,46";"7,05";
"08.02.2018";"08:30";"7,81";"7,59";
"08.02.2018";"08:45";"9,07";"7,96";
"08.02.2018";"09:00";"10,44";"11,05";
"08.02.2018";"09:15";"11,35";"12,16";
"08.02.2018";"09:30";"12,22";"11,67";
"08.02.2018";"09:45";"12,86";"12,41";
"08.02.2018";"10:00";"13,17";"12,46";
"08.02.2018";"10:15";"13,42";"13,48";
"08.02.2018";"10:30";"13,66";"13,38";
"08.02.2018";"10:45";"13,77";"13,73";
"08.02.2018";"11:00";"13,67";"12,28";
"08.02.2018";"11:15";"13,55";"13,03";
"08.02.2018";"11:30";"13,66";"13,08";
"08.02.2018";"11:45";"13,37";"12,44";
"08.02.2018";"12:00";"12,79";"12,49";
"08.02.2018";"12:15";"12,68";"13,63";
"08.02.2018";"12:30";"12,37";"12,16";
"08.02.2018";"12:45";"12,13";"11,53";
"08.02.2018";"13:00";"11,84";"11,47";
"08.02.2018";"13:15";"11,97";"11,01";
"08.02.2018";"13:30";"12,14";"12,15";
"08.02.2018";"13:45";"12,1";"12,27";
"08.02.2018";"14:00";"12,31";"11,49";
"08.02.2018";"14:15";"12,28";"11,38";
"08.02.2018";"14:30";"12,21";"11,83";
"08.02.2018";"14:45";"11,98";"11,94";
"08.02.2018";"15:00";"12,07";"12,18";
"08.02.2018";"15:15";"11,6";"11";
"08.02.2018";"15:30";"11,44";"11,11";
"08.02.2018";"15:45";"10,85";"11,04";
"08.02.2018";"16:00";"10,66";"9,98";
"08.02.2018";"16:15";"10,29";"10,36";
"08.02.2018";"16:30";"10,15";"9,84";
"08.02.2018";"16:45";"9,89";"10,34";
"08.02.2018";"17:00";"9,45";"7,59";
"08.02.2018";"17:15";"9,32";"8,3";
"08.02.2018";"17:30";"9,09";"8,79";
"08.02.2018";"17:45";"8,88";"7,97";
"08.02.2018";"18:00";"8,43";"7,81";
"08.02.2018";"18:15";"8,2";"7,9";
"08.02.2018";"18:30";"7,83";"7,66";
"08.02.2018";"18:45";"7,55";"7,8";
"08.02.2018";"19:00";"6,77";"4,76";
"08.02.2018";"19:15";"6,86";"5";
"08.02.2018";"19:30";"6,71";"2,85";
"08.02.2018";"19:45";"6,29";"4,98";
"08.02.2018";"20:00";"5,92";"4,34";
"08.02.2018";"20:15";"5,68";"4,94";
"08.02.2018";"20:30";"5,36";"5,64";
"08.02.2018";"20:45";"4,81";"5,12";
"08.02.2018";"21:00";"4,4";"4,21";
"08.02.2018";"21:15";"3,97";"3,98";
"08.02.2018";"21:30";"3,39";"3,97";
"08.02.2018";"21:45";"3,17";"4";
"08.02.2018";"22:00";"2,58";"1,97";
"08.02.2018";"22:15";"2,25";"2,2";
"08.02.2018";"22:30";"1,93";"2,07";
"08.02.2018";"22:45";"1,7";"2,44";
"08.02.2018";"23:00";"1,72";"1,8";
"08.02.2018";"23:15";"1,4";"1,63";
"08.02.2018";"23:30";"1,41";"1,38";
"08.02.2018";"23:45";"1,42";"1,49";
"09.02.2018";"00:00";"0,89";"0,39";
"09.02.2018";"00:15";"0,85";"0,62";
"09.02.2018";"00:30";"0,82";"0,52";
"09.02.2018";"00:45";"0,85";"0,31";
"09.02.2018";"01:00";"0,88";"0,32";
"09.02.2018";"01:15";"0,41";"0,36";
"09.02.2018";"01:30";"0,51";"0,3";
"09.02.2018";"01:45";"0,57";"0,54";
"09.02.2018";"02:00";"0,56";"0,37";
"09.02.2018";"02:15";"0,55";"0,55";
"09.02.2018";"02:30";"0,54";"0,48";
"09.02.2018";"02:45";"0,53";"0,44";
"09.02.2018";"03:00";"0,41";"0,26";
"09.02.2018";"03:15";"0,48";"0,24";
"09.02.2018";"03:30";"0,47";"0,23";
"09.02.2018";"03:45";"0,45";"0,27";
"09.02.2018";"04:00";"0,43";"0,23";
"09.02.2018";"04:15";"0,43";"0,25";
"09.02.2018";"04:30";"0,42";"0,09";
"09.02.2018";"04:45";"0,81";"0,23";
"09.02.2018";"05:00";"0,77";"1,05";
"09.02.2018";"05:15";"1,07";"1,23";
"09.02.2018";"05:30";"1,02";"0,81";
"09.02.2018";"05:45";"1,35";"1,32";
"09.02.2018";"06:00";"1,69";"2,89";
"09.02.2018";"06:15";"2,19";"2,46";
"09.02.2018";"06:30";"2,11";"2,87";
"09.02.2018";"06:45";"2,49";"3,39";
"09.02.2018";"07:00";"2,87";"3,13";
"09.02.2018";"07:15";"3,45";"3,96";
"09.02.2018";"07:30";"3,81";"4,81";
"09.02.2018";"07:45";"4,4";"4,15";
"09.02.2018";"08:00";"5,96";"6,98";
"09.02.2018";"08:15";"7,3";"8,05";
"09.02.2018";"08:30";"8,8";"8,76";
"09.02.2018";"08:45";"10,67";"10,52";
"09.02.2018";"09:00";"11,9";"15,04";
"09.02.2018";"09:15";"13,24";"13,89";
"09.02.2018";"09:30";"14,05";"15,25";
"09.02.2018";"09:45";"14,51";"15,59";
"09.02.2018";"10:00";"14,5";"14,52";
"09.02.2018";"10:15";"14,7";"15,38";
"09.02.2018";"10:30";"14,68";"14,26";
"09.02.2018";"10:45";"14,32";"14,65";
"09.02.2018";"11:00";"14,13";"12,88";
"09.02.2018";"11:15";"13,98";"14,3";
"09.02.2018";"11:30";"13,89";"13,77";
"09.02.2018";"11:45";"14,15";"13,75";
"09.02.2018";"12:00";"14,08";"14,34";
"09.02.2018";"12:15";"13,78";"13,41";
"09.02.2018";"12:30";"13,74";"13,59";
"09.02.2018";"12:45";"13,7";"13,37";
"09.02.2018";"13:00";"13,29";"13,29";
"09.02.2018";"13:15";"13,29";"13,37";
"09.02.2018";"13:30";"12,86";"13,59";
"09.02.2018";"13:45";"12,62";"12,66";
"09.02.2018";"14:00";"11,82";"11,36";
"09.02.2018";"14:15";"11,64";"10,87";
"09.02.2018";"14:30";"11,21";"11,74";
"09.02.2018";"14:45";"11,36";"10,88";
"09.02.2018";"15:00";"11,29";"11,87";
"09.02.2018";"15:15";"11,21";"11,37";
"09.02.2018";"15:30";"11,53";"11,81";
"09.02.2018";"15:45";"11,38";"12,11";
"09.02.2018";"16:00";"11,05";"11,11";
"09.02.2018";"16:15";"11,07";"10,76";
"09.02.2018";"16:30";"10,69";"10,56";
"09.02.2018";"16:45";"10";"10,73";
"09.02.2018";"17:00";"9,6";"9,45";
"09.02.2018";"17:15";"9,28";"9,36";
"09.02.2018";"17:30";"9,1";"9,04";
"09.02.2018";"17:45";"8,7";"9,17";
"09.02.2018";"18:00";"8,51";"6,38";
"09.02.2018";"18:15";"8,56";"5,41";
"09.02.2018";"18:30";"8,05";"5,19";
"09.02.2018";"18:45";"7,71";"4,68";
"09.02.2018";"19:00";"7,29";"5,36";
"09.02.2018";"19:15";"7,05";"4,88";
"09.02.2018";"19:30";"6,86";"5,29";
"09.02.2018";"19:45";"6,44";"5,14";
"09.02.2018";"20:00";"5,99";"5,09";
"09.02.2018";"20:15";"5,68";"5,06";
"09.02.2018";"20:30";"5,15";"4,44";
"09.02.2018";"20:45";"4,8";"5,02";
"09.02.2018";"21:00";"4,41";"3,84";
"09.02.2018";"21:15";"3,9";"3,56";
"09.02.2018";"21:30";"3,5";"3,19";
"09.02.2018";"21:45";"3,01";"3,3";
"09.02.2018";"22:00";"2,81";"2,48";
"09.02.2018";"22:15";"2,45";"2,45";
"09.02.2018";"22:30";"2,53";"2,37";
"09.02.2018";"22:45";"1,85";"2,66";
"09.02.2018";"23:00";"1,8";"1,77";
"09.02.2018";"23:15";"1,82";"1,93";
"09.02.2018";"23:30";"1,5";"1,77";
"09.02.2018";"23:45";"1,49";"1,62";
"10.02.2018";"00:00";"1,07";"0,71";
"10.02.2018";"00:15";"1,1";"0,92";
"10.02.2018";"00:30";"1,09";"0,83";
"10.02.2018";"00:45";"0,67";"0,51";
"10.02.2018";"01:00";"0,69";"0,54";
"10.02.2018";"01:15";"0,58";"0,54";
"10.02.2018";"01:30";"0,68";"0,4";
"10.02.2018";"01:45";"0,68";"0,72";
"10.02.2018";"02:00";"0,68";"0,62";
"10.02.2018";"02:15";"0,64";"0,64";
"10.02.2018";"02:30";"0,62";"0,59";
"10.02.2018";"02:45";"0,58";"0,35";
"10.02.2018";"03:00";"0,49";"0,42";
"10.02.2018";"03:15";"0,53";"0,34";
"10.02.2018";"03:30";"0,52";"0,38";
"10.02.2018";"03:45";"0,5";"0,46";
"10.02.2018";"04:00";"0,51";"0,36";
"10.02.2018";"04:15";"0,46";"0,36";
"10.02.2018";"04:30";"0,46";"0,4";
"10.02.2018";"04:45";"0,47";"0,18";
"10.02.2018";"05:00";"0,78";"1,05";
"10.02.2018";"05:15";"0,85";"0,88";
"10.02.2018";"05:30";"1,15";"1,31";
"10.02.2018";"05:45";"1,11";"1,09";
"10.02.2018";"06:00";"1,58";"1,61";
"10.02.2018";"06:15";"1,96";"2,17";
"10.02.2018";"06:30";"2,37";"3,09";
"10.02.2018";"06:45";"2,33";"2,57";
"10.02.2018";"07:00";"2,53";"2,7";
"10.02.2018";"07:15";"2,92";"3,77";
"10.02.2018";"07:30";"3,63";"3,67";
"10.02.2018";"07:45";"4,12";"4,21";
"10.02.2018";"08:00";"4,96";"5,91";
"10.02.2018";"08:15";"5,76";"6,41";
"10.02.2018";"08:30";"6,76";"6,2";
"10.02.2018";"08:45";"7,83";"7,52";
"10.02.2018";"09:00";"8,47";"9,89";
"10.02.2018";"09:15";"9,6";"10";
"10.02.2018";"09:30";"10,21";"11,54";
"10.02.2018";"09:45";"10,61";"12,32";
"10.02.2018";"10:00";"10,85";"11,57";
"10.02.2018";"10:15";"11";"12,81";
"10.02.2018";"10:30";"11,32";"11,45";
"10.02.2018";"10:45";"11,72";"11,25";
"10.02.2018";"11:00";"12,18";"11,78";
"10.02.2018";"11:15";"12,13";"12,58";
"10.02.2018";"11:30";"12,14";"14,98";
"10.02.2018";"11:45";"12,17";"14,45";
"10.02.2018";"12:00";"11,63";"12,54";
"10.02.2018";"12:15";"11,68";"13,14";
"10.02.2018";"12:30";"11,74";"13,24";
"10.02.2018";"12:45";"11,34";"12,89";
"10.02.2018";"13:00";"10,89";"10,98";
"10.02.2018";"13:15";"10,49";"11,17";
"10.02.2018";"13:30";"10,16";"10,76";
"10.02.2018";"13:45";"9,73";"10,92";
"10.02.2018";"14:00";"9,27";"10,42";
"10.02.2018";"14:15";"9,19";"10,75";
"10.02.2018";"14:30";"8,89";"10,01";
"10.02.2018";"14:45";"8,68";"9,91";
"10.02.2018";"15:00";"8,4";"10,68";
"10.02.2018";"15:15";"8,31";"10,09";
"10.02.2018";"15:30";"8,11";"10,3";
"10.02.2018";"15:45";"7,88";"8,18";
"10.02.2018";"16:00";"7,55";"8,85";
"10.02.2018";"16:15";"7,28";"8,72";
"10.02.2018";"16:30";"6,99";"8,52";
"10.02.2018";"16:45";"6,88";"8,29";
"10.02.2018";"17:00";"6,66";"8,34";
"10.02.2018";"17:15";"6,51";"8,56";
"10.02.2018";"17:30";"6,29";"7,7";
"10.02.2018";"17:45";"5,93";"7,63";
"10.02.2018";"18:00";"5,85";"6,77";
"10.02.2018";"18:15";"5,5";"6,71";
"10.02.2018";"18:30";"5,17";"5,56";
"10.02.2018";"18:45";"5";"4,99";
"10.02.2018";"19:00";"4,83";"5,51";
"10.02.2018";"19:15";"4,43";"4,88";
"10.02.2018";"19:30";"4,39";"4,56";
"10.02.2018";"19:45";"4,1";"4,16";
"10.02.2018";"20:00";"4,22";"4,36";
"10.02.2018";"20:15";"3,81";"4,47";
"10.02.2018";"20:30";"3,73";"4,24";
"10.02.2018";"20:45";"3,44";"3,51";
"10.02.2018";"21:00";"3,45";"3,04";
"10.02.2018";"21:15";"3,13";"2,92";
"10.02.2018";"21:30";"2,8";"2,69";
"10.02.2018";"21:45";"2,51";"3,19";
"10.02.2018";"22:00";"2,09";"2,53";
"10.02.2018";"22:15";"2,19";"1,75";
"10.02.2018";"22:30";"1,91";"2,14";
"10.02.2018";"22:45";"1,53";"2,92";
"10.02.2018";"23:00";"1,46";"1,47";
"10.02.2018";"23:15";"1,16";"1,03";
"10.02.2018";"23:30";"1,14";"1,32";
"10.02.2018";"23:45";"1,12";"0,99";
"11.02.2018";"00:00";"0,85";"0,84";
"11.02.2018";"00:15";"0,87";"0,9";
"11.02.2018";"00:30";"0,92";"0,81";
"11.02.2018";"00:45";"0,91";"0,84";
"11.02.2018";"01:00";"0,91";"0,79";
